timestamp,strategy,result,pnl
2025-06-14T00:53:40.571151,TrendFollowingStrategy,TP_OR_CLOSE,-23.26
2025-06-14T00:38:15.905156,VolatilityReversalStrategy,TP_OR_CLOSE,14.32
2025-06-14T00:51:34.904805,VolatilityReversalStrategy,TP_OR_CLOSE,-24.49
2025-06-14T00:55:44.471408,VolatilityReversalStrategy,TP_OR_CLOSE,41.79
2025-06-14T01:09:08.581752,VolatilityReversalStrategy,TP_OR_CLOSE,24.95
2025-06-14T04:44:04.439023,VolatilityReversalStrategy,TP_OR_CLOSE,21.71
2025-06-14T05:55:44.071336,VolatilityReversalStrategy,TP_OR_CLOSE,76.2
2025-06-14T05:56:47.392804,VolatilityReversalStrategy,TP_OR_CLOSE,-24.55
2025-06-14T07:15:33.515774,VolatilityReversalStrategy,TP_OR_CLOSE,26.72
2025-06-14T07:38:01.857662,VolatilityReversalStrategy,TP_OR_CLOSE,-23.14
2025-06-14T14:49:10.072606,VolatilityReversalStrategy,TP_OR_CLOSE,15.69
2025-06-14T15:34:28.363282,VolatilityReversalStrategy,TP_OR_CLOSE,15.07
2025-06-14T15:43:43.252512,VolatilityReversalStrategy,TP_OR_CLOSE,13.87
2025-06-14T16:04:10.850001,VolatilityReversalStrategy,TP_OR_CLOSE,-21.68
2025-06-14T16:32:59.943279,VolatilityReversalStrategy,TP_OR_CLOSE,28.96
2025-06-14T16:47:20.534908,VolatilityReversalStrategy,TP_OR_CLOSE,12.28
2025-06-14T16:59:38.125493,VolatilityReversalStrategy,TP_OR_CLOSE,23.17
2025-06-14T17:08:53.820636,VolatilityReversalStrategy,TP_OR_CLOSE,-24.2
2025-06-14T17:29:22.412572,VolatilityReversalStrategy,TP_OR_CLOSE,-11.65
2025-06-14T17:44:46.880527,VolatilityReversalStrategy,TP_OR_CLOSE,32.36
2025-06-14T17:46:52.578768,VolatilityReversalStrategy,TP_OR_CLOSE,-9.78
2025-06-14T18:02:15.635974,VolatilityReversalStrategy,TP_OR_CLOSE,-20.19
2025-06-14T18:05:27.679933,VolatilityReversalStrategy,TP_OR_CLOSE,-5.08
2025-06-14T18:06:30.877177,VolatilityReversalStrategy,TP_OR_CLOSE,-14.65
2025-06-14T18:07:34.216740,VolatilityReversalStrategy,TP_OR_CLOSE,-12.02
2025-06-14T18:11:42.152851,VolatilityReversalStrategy,TP_OR_CLOSE,-13.25
2025-06-14T18:27:03.604573,VolatilityReversalStrategy,TP_OR_CLOSE,28.08
